"Joseph Guillaume","DE190100317","The Australian National University","This project aims to develop a holistic framework for prioritisation of uncertainties in Integrated …","376,000","2019","Discovery Early Career Researcher Award"
"Xia Hua","DE190100491","The Australian National University","This project aims to provide a suite of theories, methods and software to enhance our understanding …","418,386","2019","Discovery Early Career Researcher Award"
"Christian Wolf","DP190100252","The Australian National University","This project aims to discover the largest black holes in the early universe and their origin, and …","375,000","2019","Discovery Projects"
"Antony Hosking","DP190102167","The Australian National University","This project aims to formally verify automatic memory managers in the presence of concurrency and …","480,000","2019","Discovery Projects"
"Hongdong Li","DP190102261","The Australian National University","This project aims to develop advanced 3D computer vision and image processing technology that can …","380,000","2019","Discovery Projects"
"Tamás (Tom) Gedeon","DP190102919","The Australian National University","This project aims to combine strengths of human cognition and evolutionary computing to efficiently …","390,000","2019","Discovery Projects"
"Stephen Blackburn","DP190103367","The Australian National University","This project aims to improve the performance of programming languages used by millions of …","440,000","2019","Discovery Projects"
"Tamás (Tom) Gedeon","DP160104195","The Australian National University","The project aims to develop computational ability to reliably detect and hence act on implicit user …","315,000","2016","Discovery Projects"
"Byron Keating","LP160100910","The Australian National University","This project aims to develop an automated suicide risk detection system to reduce the incidence and …","450,000","2016","Linkage Projects"
"Rajeev Gore","DP140101540","The Australian National University","The project will deliver a general methodology for developing formal logical specifications of the …","360,000","2014","Discovery Projects"
"John Hosking","DP140102185","The Australian National University","This project will invent a new approach for searching within a large complex information space, …","440,000","2014","Discovery Projects"
"Stephen Blackburn","DP140103878","The Australian National University","This project will address a systemic source of inefficiency in widely used software which leads to …","300,000","2014","Discovery Projects"
"Tamás (Tom) Gedeon","LP140100995","The Australian National University","This project aims to use computational intelligence techniques to reliably learn adaptive natural …","275,000","2014","Linkage Projects"
"Peter Christen","DP130101801","The Australian National University","Record linkage has been recognised as a crucial infrastructure component in many information …","350,000","2013","Discovery Projects"
"Richard Hartley","DP130104567","The Australian National University","Optimization is the basis for solving many problems in Computer Vision, such as three-dimensional …","345,000","2013","Discovery Projects"
"Jun Zhou","DE120102948","The Australian National University","This project aims at pushing forward the fundamental research in interactive computer vision. The …","375,000","2012","Discovery Early Career Researcher Award"
"Rajeev Gore","DP120101244","The Australian National University","Commercial program verification tools based upon special-purpose logic-based proof calculi can now …","360,000","2012","Discovery Projects"
"Hongdong Li","DP120103896","The Australian National University","Vision-based 3D reconstruction is a frontier technology for a wide range of applications. This …","320,000","2012","Discovery Projects"
"Rodney Kennedy","DP110102548","The Australian National University","For wireless communications to be part of Australia's information delivery infrastructure, …","255,000","2011","Discovery Projects"
"Alwen Tiu","DP110103173","The Australian National University","Security protocols are an essential part of secure communication networks. This project aims to …","615,000","2011","Discovery Projects"
"Stephen Gould","DP110103819","The Australian National University","This project aims to develop algorithms for computers to automatically learn about visual scenes …","322,800","2011","Discovery Projects"
"Rodney Kennedy","LP100100588","The Australian National University","This project will link Australian researchers with a major multi-national IT company. The …","805,000","2010","Linkage Projects"
"Miaomiao Liu","DE180100628","The Australian National University","This project aims to advance the research in short-term solar power forecasting and optimise the …","368,446","2018","Discovery Early Career Researcher Award"
"Patrik Haslum","DP180103446","The Australian National University","This project aims to develop admissible heuristics for constrained stochastic planning problems and …","352,616","2018","Discovery Projects"
"John Campbell","DP180103709","The Australian National University","This project aims to use online financial investment communities to identify factors that drive …","402,952","2018","Discovery Projects"
"Peter Christen","DP160101934","The Australian National University","This project aims to develop novel efficient and effective models and techniques that enable record …","327,000","2016","Discovery Projects"
"Allen Rodrigo","DP160103474","The Australian National University","This project aims to provide biologists with a means of making sound, statistical inferences about …","491,900","2016","Discovery Projects"
"Fatih Porikli","DP150104645","The Australian National University","The objective of this innovative project is to provide a solution to the open question of …","370,100","2015","Discovery Projects"
"Yuchao Dai","DE140100180","The Australian National University","This project will advance the fundamental research in geometric computer vision and develop a new …","394,305","2014","Discovery Early Career Researcher Award"
"John Slaney","DP140104245","The Australian National University","This project will develop, implement and validate improved methods for automated deduction in …","358,000","2014","Discovery Projects"
"James Jiang","DP130100332","The Australian National University","This project aims to improve the effectiveness with which IT-enabled programmes are managed by …","435,000","2013","Discovery Projects"
"Robert Mahony","LP110200768","The Australian National University","Eyesight is the strongest sense for humans and much of the brain is dedicated to vision processing. …","116,000","2011","Linkage Projects"
"Peter Christen","LP100200079","The Australian National University","Given the increasingly large costs of identity crimes in Australia, developing improved electronic …","240,000","2010","Linkage Projects"
"Jochen Renz","DP120103758","The Australian National University","Monitoring potential disaster regions and integrating available information with expert knowledge …","320,000","2012","Discovery Projects"
"Markus Hegland","LP110200410","The Australian National University","The project will apply new mathematical ideas to exploit the unprecedented computational resources …","446,000","2011","Linkage Projects"
