"Karin Verspoor","DP190101350","The University of Melbourne","This project aims to develop methods for identifying poor quality data in biological databases. …","339,000","2019","Discovery Projects"
"Justin Zobel","DP190102078","The University of Melbourne","This project aims to increase the volume of streamed data that can be handled on a low-powered …","395,000","2019","Discovery Projects"
"Vassilis Kostakos","DP190102627","The University of Melbourne","This project aims to develop the theory and supporting research tools to investigate how, where, …","410,000","2019","Discovery Projects"
"Frank Vetere","DP190103414","The University of Melbourne","This project aims to produce validated methods for creating human-centred explanations of decisions …","380,000","2019","Discovery Projects"
"Eduardo Velloso","DE180100315","The University of Melbourne","This proposal aims to enable the development of social attentive user interfaces—those that employ …","368,446","2018","Discovery Early Career Researcher Award"
"Wally Smith","DP180101215","The University of Melbourne","This artificial project aims to develop a theory of strategic deception and test it through an …","351,251","2018","Discovery Projects"
"Rui Zhang","DP180102050","The University of Melbourne","Recently launched Virtual Assistant products such as Amazon Echo and Google Home are commanded by …","342,518","2018","Discovery Projects"
"Ramamohanarao Kotagiri","DP180103332","The University of Melbourne","This data management project aims to examine ride-sharing as a model of a complex decision system …","518,756","2018","Discovery Projects"
"James Bailey","DP170102472","The University of Melbourne","This project aims to develop data mining methods for extracting comprehensive personalised …","410,500","2017","Discovery Projects"
"Peter Stuckey","DP170103174","The University of Melbourne","This project aims to formulate methods for using constraint solving and data mining in a …","498,500","2017","Discovery Projects"
"Jennifer Waycott","FT170100420","The University of Melbourne","This project aims to generate knowledge about older adults' experiences with emerging technologies …","736,932","2017","ARC Future Fellowships"
"Karin Verspoor","LP160101469","The University of Melbourne","The project aims to develop novel natural language processing methods to find, extract and …","500,000","2017","Linkage Projects"
"Graeme Shanks","DP160102277","The University of Melbourne","This project aims to help organisations to protect their information resources from complex and …","270,000","2016","Discovery Projects"
"Rajkumar Buyya","DP160102414","The University of Melbourne","This project seeks to develop technologies for more powerful and lower-cost cloud computing. Cloud …","410,000","2016","Discovery Projects"
"Trevor Cohn","DP160102686","The University of Melbourne","This project seeks to integrate deep linguistics and deep learning to improve translation quality. …","450,000","2016","Discovery Projects"
"Benjamin Rubinstein","DP150103710","The University of Melbourne","Technological advances such as cloud computing have disrupted thousands of businesses managing …","216,000","2015","Discovery Projects"
"Christopher Leckie","LP150100600","The University of Melbourne","The focus of this project is to develop modelling techniques for energy consumption in …","240,000","2015","Linkage Projects"
"Graeme Shanks","DP140100248","The University of Melbourne","This project aims to develop, test and refine an innovative model that explains how and why …","400,000","2014","Discovery Projects"
"Ramamohanarao Kotagiri","DP140101969","The University of Melbourne","Sophisticated big data applications in engineering, the social sciences and biology are now …","660,000","2014","Discovery Projects"
"Peter Stuckey","DP140102194","The University of Melbourne","Most computer programs deal with integers. Automated tools designed to verify the correct behaviour …","385,000","2014","Discovery Projects"
"Alistair Moffat","DP140103256","The University of Melbourne","Information search is an essential tool. But most current services regard the data as unstructured …","310,000","2014","Discovery Projects"
"Peter Stuckey","LP140100437","The University of Melbourne","This project aims to design and implement new and better methods to find vulnerabilities in …","405,591","2014","Linkage Projects"
"Geoffrey Chu","DE130100292","The University of Melbourne","Combinatorial optimisation problems such as staff rostering, vehicle routing or resource allocation …","285,000","2013","Discovery Early Career Researcher Award"
"Elizabeth Sonenberg","DP130102825","The University of Melbourne","As automated systems become more sophisticated in their capabilities, the design of effective …","350,000","2013","Discovery Projects"
"Ramamohanarao Kotagiri","DP130103705","The University of Melbourne","Traffic congestion coupled with greenhouse gas emissions is a major challenge for modern society. …","452,000","2013","Discovery Projects"
"Rui Zhang","DP130104587","The University of Melbourne","This project will develop spatial data retrieval methods that are not only highly efficient but …","275,000","2013","Discovery Projects"
"Stephen O'Leary","LP130100806","The University of Melbourne","This project will use data mining techniques to develop a real-time feedback system that can be …","300,000","2013","Linkage Projects"
"Ramamohanarao Kotagiri","LP130101038","The University of Melbourne","Businesses and government are dependent on the reliability of their information technology (IT) …","280,000","2013","Linkage Projects"
"Rajkumar Buyya","FT120100545","The University of Melbourne","In the next 20 years, service-oriented computing will play an important role in shaping the …","786,168","2012","ARC Future Fellowships"
"Rui Zhang","FT120100832","The University of Melbourne","Mining human and vehicle trajectories in real time will enable a suite of next-generation …","564,747","2012","ARC Future Fellowships"
"Julien Ridoux","LP120100073","The University of Melbourne","Accurate time is essential for critical services from telecommunications to banking, and …","260,000","2012","Linkage Projects"
"Lars Kulik","DP110100757","The University of Melbourne","Location based data are transforming the mobile service industry and this project will develop …","300,000","2011","Discovery Projects"
"Alistair Moffat","DP110101743","The University of Melbourne","Pattern searching is fundamental to a wide range of computing applications, including web search …","360,000","2011","Discovery Projects"
"Justin Zobel","DP110101934","The University of Melbourne","The project team's confidence in scientific knowledge is partly due to the robustness of the …","330,000","2011","Discovery Projects"
"Frank Vetere","DP110101999","The University of Melbourne","How can technology help us 'age well'? The project will study, design and evaluate novel …","340,000","2011","Discovery Projects"
"Peter Stuckey","DP110102579","The University of Melbourne","As we come to rely on software to manage more and more aspects of our lives, the importance of …","479,000","2011","Discovery Projects"
"Ramamohanarao Kotagiri","DP110102621","The University of Melbourne","In order to understand complex systems such as the Internet or gene interactions, we need to …","697,000","2011","Discovery Projects"
"Hazer Inaltekin","DP110102729","The University of Melbourne","This project will improve our understanding of complex networks such as the internet, wireless …","270,000","2011","Discovery Projects"
"James Bailey","FT110100112","The University of Melbourne","Prediction models can be used to provide early warning of events, such as adverse medical outcomes. …","689,078","2011","ARC Future Fellowships"
"Gary Egan","LP110100470","The University of Melbourne","This project will develop new tools for neuroimaging research: (i) efficient distributed …","360,000","2011","Linkage Projects"
