"Qi Wu","DE190100539","The University of Adelaid","This project aims to develop a novel learning framework, Vision-Ask-Answer-Act (V3A). This …","408,000","2019","Discovery Early Career Researcher Award"
"James Herbert-Read","DE190101486","The University of Adelaid","This project aims to provide biologically inspired solutions to the problems faced by mobile sensor …","400,000","2019","Discovery Early Career Researcher Award"
"Frank Neumann","DP190103894","The University of Adelaid","This project aims to build up and establish the area of evolutionary diversity optimisation. The …","473,000","2019","Discovery Projects"
"Christoph Treude","DE180100153","The University of Adelaid","This project aims to create technologies for automatically repackaging, interpreting, and …","361,446","2018","Discovery Early Career Researcher Award"
"Anton van den Hengel","DP180103023","The University of Adelaid","Deep Learning has achieved incredible success at an astonishing variety of Computer Vision tasks …","423,102","2018","Discovery Projects"
"Gustavo Carneiro","DP180103232","The University of Adelaid","This project aims to develop novel methods for discovering and visualising optimal bio-markers from …","387,884","2018","Discovery Projects"
"Lingqiao Liu","DE170101259","The University of Adelaid","This project aims to develop few-shot and zero-shot learning, visual recognition techniques that …","360,000","2017","Discovery Early Career Researcher Award"
"Markus Wagner","DE160100850","The University of Adelaid","The aim of this project is to use computational intelligence in software engineering processes to …","330,000","2016","Discovery Early Career Researcher Award"
"Qinfeng Shi","DP160100703","The University of Adelaid","The project intends to develop methods to suggest how to optimally intervene so that the future …","318,000","2016","Discovery Projects"
"Tat-Jun Chin","DP160103490","The University of Adelaid","The project aims to develop algorithms to support the development of robust and accurate computer …","268,000","2016","Discovery Projects"
"Anton van den Hengel","DP160103710","The University of Adelaid","This project seeks to develop technologies that will help computer vision interpret the whole …","300,000","2016","Discovery Projects"
"Tat-Jun Chin","LP160100495","The University of Adelaid","This project aims to develop computer vision algorithms to detect man-made objects in space. These …","275,000","2016","Linkage Projects"
"Damith Ranasinghe","LP160101177","The University of Adelaid","This project aims to develop an automated and distributed spatial tracking approach using low cost …","181,194","2016","Linkage Projects"
"Hong Shen","DP150104871","The University of Adelaid","Protecting sensitive information in large network traffic flows while ensuring data usability for …","340,300","2015","Discovery Projects"
"Gustavo Carneiro","DP140102794","The University of Adelaid","This project will develop an improved breast cancer computer-aided diagnosis (CAD) system that …","295,000","2014","Discovery Projects"
"Frank Neumann","DP140103400","The University of Adelaid","This project will establish the field of parameterised analysis of bio-inspired computing which …","300,000","2014","Discovery Projects"
"Michael Sheng","FT140101247","The University of Adelaid","The future World Wide Web will connect billions of physical objects, which will offer exciting …","757,452","2014","ARC Future Fellowships"
"Anders Eriksson","DE130101775","The University of Adelaid","With the number of images and video available over the internet reaching billions and growing, the …","375,000","2013","Discovery Early Career Researcher Award"
"David Suter","DP130102524","The University of Adelaid","This project will improve image analysis to apply such applications as 3D street-scape …","330,000","2013","Discovery Projects"
"Zbigniew Michalewicz","DP130104395","The University of Adelaid","This project will integrate various algorithms into an adaptive, dynamic and intelligent system …","315,000","2013","Discovery Projects"
"Ian Reid","DP130104413","The University of Adelaid","This project will use a moving camera to estimate the three-dimensional shape and identity of …","358,000","2013","Discovery Projects"
"Michael Sheng","DP130104614","The University of Adelaid","A rapidly growing aged population presents many challenges to Australia's health and aged care …","360,000","2013","Discovery Projects"
"Anthony Dick","LP130100154","The University of Adelaid","By incorporating high level scene understanding into visual tracking, this project will improve the …","345,000","2013","Linkage Projects"
"Anton van den Hengel","LP130100156","The University of Adelaid","This project aims to develop technologies which understand the content of images before …","377,000","2013","Linkage Projects"
"Anton van den Hengel","LP130101064","The University of Adelaid","This project aims to bring to life the rich historical record that is stored in our museum's …","150,000","2013","Linkage Projects"
"Anton van den Hengel","DP120101172","The University of Adelaid","The project aims to endow machine vision with an ability we, as humans, use almost constantly: to …","330,000","2012","Discovery Projects"
"Chunhua Shen","FT120100969","The University of Adelaid","The ultimate goal of computer vision is to make a machine able to understand the world through …","644,671","2012","ARC Future Fellowships"
"Anton van den Hengel","DP110103521","The University of Adelaid","Humans are very good at understanding the world through imagery, but computers lack this …","240,000","2011","Discovery Projects"
"David Suter","DP110103637","The University of Adelaid","Computer vision has applications in a wide variety of areas: security (video surveillance), …","300,000","2011","Discovery Projects"
"Anton van den Hengel","LP110200971","The University of Adelaid","Feeding an increasing world population under the threat of climate change requires the development …","475,000","2011","Linkage Projects"
"Michael Sheng","LP100200114","The University of Adelaid","Australia suffers 5.4 million cases of food-borne illness every year, which leads to 2.1 million …","230,000","2010","Linkage Projects"
