"Xin Cao","DE190100663","The University of New South Wales","This project aims to develop, analyse, implement, and evaluate novel indexing techniques and …","402,000","2019","Discovery Early Career Researcher Award"
"Min Sha","DE190100888","The University of New South Wales","This project aims to deeply and systematically develop the theory of linear recurrence sequences …","333,924","2019","Discovery Early Career Researcher Award"
"Lei Yang","DE190101418","The University of New South Wales","This project aims to develop fundamental coding theories and innovative coded-modulation techniques …","398,000","2019","Discovery Early Career Researcher Award"
"Tapabrata Ray","DP190101271","The University of New South Wales","Computationally expensive simulations involving iterative solvers are increasingly being used in …","360,000","2019","Discovery Projects"
"Jinhong Yuan","DP190101363","The University of New South Wales","This project aims to develop innovative millimetre wave (mmWave) communication theories and …","450,000","2019","Discovery Projects"
"David Taubman","DP190102574","The University of New South Wales","This project aims to address current deficiencies in multi-view video coding technology to achieve …","380,000","2019","Discovery Projects"
"Hemant Singh","DP190102591","The University of New South Wales","This project aims to develop an evolutionary computation framework for robust multi-objective …","360,000","2019","Discovery Projects"
"Ruhul Sarker","DP190102637","The University of New South Wales","This project aims to develop a novel framework for solving planning problems in dynamic …","568,410","2019","Discovery Projects"
"Daniel Schlagwein","DP190102780","The University of New South Wales","This project aims to gain a better understanding of digital nomadism. Digital nomads use IT …","390,000","2019","Discovery Projects"
"Jiankun Hu","DP190103660","The University of New South Wales","This project aims to develop a framework on energy big data analytics from security and privacy …","385,000","2019","Discovery Projects"
"Gernot Heiser","DP190103743","The University of New South Wales","This project aims to develop techniques to solve the issue in information security of unauthorised …","660,000","2019","Discovery Projects"
"Sridevan Parameswaran","DP190103916","The University of New South Wales","This project seeks to create a methodology to design and generate processors which are both secure, …","490,000","2019","Discovery Projects"
"Xianzhi Wang","DE180100251","The University of New South Wales","This project aims to develop innovative techniques and tools to recommend Internet of Things …","368,446","2018","Discovery Early Career Researcher Award"
"Xuemin Lin","DP180103096","The University of New South Wales","This project aims to develop novel approaches to process large scale multi-dimensional graphs. The …","407,947","2018","Discovery Projects"
"Wei Wang","DP180103411","The University of New South Wales","This project aims to design effective and intelligent search techniques for large scale social …","357,675","2018","Discovery Projects"
"Jingling Xue","DP180104069","The University of New South Wales","This project aims to build secure defences against code-reuse attacks in large-scale C++ …","362,616","2018","Discovery Projects"
"Lijun Chang","FT180100256","The University of New South Wales","This project aims to study advanced cohesive subgraph searches, as well as design efficient and …","766,125","2018","ARC Future Fellowships"
"Sridevan Parameswaran","LP170100311","The University of New South Wales","This project aims to develop simpler but reliable image recognition systems that can run on …","300,000","2018","Linkage Projects"
"Yulei Sui","DE170101081","The University of New South Wales","This project aims to develop client-driven adaptive value-flow analysis to detect software bugs in …","360,000","2017","Discovery Early Career Researcher Award"
"Xuemin Lin","DP170101628","The University of New South Wales","This project aims to develop theory and techniques for efficient and scalable processing of Big …","528,000","2017","Discovery Projects"
"Wei Wang","DP170103710","The University of New South Wales","This project aims to solve problems to applying locality sensitive hashing (LSH) to Big Data, …","347,000","2017","Discovery Projects"
"David Taubman","DP170103764","The University of New South Wales","This project aims to improve how video coders represent motion, leading to more efficient motion …","352,000","2017","Discovery Projects"
"Jingling Xue","DP170103956","The University of New South Wales","This project aims to develop a soundness-guided programme analysis to mitigate security threats …","357,500","2017","Discovery Projects"
"Wen Hu","LP160101260","The University of New South Wales","This project aims to design and implement a lightweight security framework for Low Power Wide Area …","318,000","2017","Linkage Projects"
"Julien Epps","LP160101360","The University of New South Wales","This project aims to create the first mobile, device-based automatic assessment of mental state …","303,000","2017","Linkage Projects"
"Gabriele Keller","DP160103367","The University of New South Wales","The project aims to reduce the costs of software development by improving the accessibility of …","330,000","2016","Discovery Projects"
"Boualem Benatallah","DP160104515","The University of New South Wales","This project aims to contribute to the scientific foundations of quality control in crowd-sourcing …","557,000","2016","Discovery Projects"
"Wei Zhang","DP160104903","The University of New South Wales","This project aims to develop interference-resilient wireless data transmission techniques that can …","360,000","2016","Discovery Projects"
"Wei Zhang","LP160100672","The University of New South Wales","This project aims to design future generation wireless network technologies for 5G cellular …","220,000","2016","Linkage Projects"
"Jinhong Yuan","LP160100708","The University of New South Wales","This project aims to develop communications protocols and algorithms to enable energy-efficient, …","466,000","2016","Linkage Projects"
"Lijun Chang","DE150100563","The University of New South Wales","Cohesive-subgraph searching is highly demanded by many applications that deal with large graphs, …","372,000","2015","Discovery Early Career Researcher Award"
"Jingling Xue","DP150102109","The University of New South Wales","Current static analysis tools can eliminate many bugs missed by traditional testing but they are …","266,300","2015","Discovery Projects"
"Xuemin Lin","DP150102728","The University of New South Wales","Advances in electronic data collections are leading to an exciting new research area - Big Data. …","397,500","2015","Discovery Projects"
"Boualem Benatallah","DP150102966","The University of New South Wales","Cloud computing allows organisations to expand or contract their computing footprint based on …","369,900","2015","Discovery Projects"
"Wenjie Zhang","DP150103071","The University of New South Wales","Efficient moving object data processing is highly demanded in many key real applications. This …","266,300","2015","Discovery Projects"
"Ying Zhang","DE140100679","The University of New South Wales","Real-time query processing of multi-dimensional uncertain data streams is fundamental in many …","395,220","2014","Discovery Early Career Researcher Award"
"Xuemin Lin","DP140103578","The University of New South Wales","Efficiently conducting structure-based search is fundamental in many real applications. The project …","413,000","2014","Discovery Projects"
"David Taubman","DP140104027","The University of New South Wales","A novel API and associated algorithms will be developed to exploit the emerging technology of …","405,000","2014","Discovery Projects"
"Muhammad Cheema","DE130101002","The University of New South Wales","Location-based services are becoming increasingly popular due to exponentially increased usage of …","375,000","2013","Discovery Early Career Researcher Award"
"Jingling Xue","DP130101970","The University of New South Wales","This project aims to develop sound and practical techniques for detecting and eliminating …","360,000","2013","Discovery Projects"
"Wei Wang","DP130103401","The University of New South Wales","Record linkage is an enabling technology for organisations to identify and remove 'redundant' …","300,000","2013","Discovery Projects"
"Wei Wang","DP130103405","The University of New South Wales","Spatial keyword search is like a normal web search plus additional location information, which …","360,000","2013","Discovery Projects"
"Wenjie Zhang","DE120102144","The University of New South Wales","The project aims to develop novel, advanced techniques to continuously monitor uncertain objects. …","375,000","2012","Discovery Early Career Researcher Award"
"Charles Morgan","DP120101413","The University of New South Wales","A new mathematical analysis of the way computer systems exchange data between their components has …","270,000","2012","Discovery Projects"
"David Taubman","DP120102071","The University of New South Wales","This project explores a new way of communicating motion for video and multi-view (3D) applications, …","320,000","2012","Discovery Projects"
