"Tongliang Liu","DE190101473","The University of Sydney","This project aims to equip machines with the ability to robustly harness feature-dependent label …","387,000","2019","Discovery Early Career Researcher Award"
"Yonghui Li","DP190101988","The University of Sydney","This project aims to develop the fundamental science to enable transmission and channel coding …","460,000","2019","Discovery Projects"
"Stephan Tillmann","DP190102259","The University of Sydney","This project aims at practical representations of 3-dimensional and 4-dimensional spaces as needed …","375,000","2019","Discovery Projects"
"Ian Manchester","DP190102963","The University of Sydney","Robots and other autonomous machines use models of the real world to predict the result of their …","505,000","2019","Discovery Projects"
"Seok-Hee Hong","DP190103301","The University of Sydney","This project aims to deliver new models, metrics and algorithms for Faithful Visual Analytics of …","420,000","2019","Discovery Projects"
"Barton Anderson","DP190103422","The University of Sydney","This project aims to understand the conditions that cause humans to misperceive the shape and …","365,709","2019","Discovery Projects"
"Albert Zomaya","DP190103710","The University of Sydney","This project aims to investigate and provide solutions for the realisation of a seemingly …","425,134","2019","Discovery Projects"
"Stefan Williams","DP190103914","The University of Sydney","This project aims to deliver cost-effective techniques to explore and monitor marine environments. …","420,000","2019","Discovery Projects"
"Kazjon Grace","DE180101416","The University of Sydney","This project aims to explore how interactive systems can encourage their users to try new things. …","338,446","2018","Discovery Early Career Researcher Award"
"Chang Xu","DE180101438","The University of Sydney","This project aims to equip machines with a human-likeability to synergistically harness multiple …","356,446","2018","Discovery Early Career Researcher Award"
"Seok-Hee Hong","DP180102553","The University of Sydney","This project aims to design new sublinear algorithms for the visual analytics of extreme-scale …","421,097","2018","Discovery Projects"
"Joachim Gudmundsson","DP180102870","The University of Sydney","This project aims to devise practical fundamental algorithms and multi-purpose data structures with …","362,666","2018","Discovery Projects"
"Dacheng Tao","DP180103424","The University of Sydney","This machine intelligence project aims to explore the potential to use and incorporate past …","392,893","2018","Discovery Projects"
"Vincent Gramoli","DP180104030","The University of Sydney","Blockchains keep records by mass collaboration using peer-to-peer and cryptographical algorithms. …","367,666","2018","Discovery Projects"
"Dong Xu","FT180100116","The University of Sydney","This project aims to study next-generation video annotation technologies to automatically tag raw …","978,125","2018","ARC Future Fellowships"
"Vincent Gramoli","FT180100496","The University of Sydney","This project aims to offer a blockchain that scales with the number of participants. There have …","855,000","2018","ARC Future Fellowships"
"Dagan Feng","DP170104304","The University of Sydney","This project aims to integrate multiscale imaging and molecular data to characterise disease in …","481,000","2017","Discovery Projects"
"Craig Jin","DP160103399","The University of Sydney","The project aim is to allow the general listener to enjoy high-fidelity 3-D sound over headphones. …","300,000","2016","Discovery Projects"
"Dagan Feng","DP160103675","The University of Sydney","The project aims to develop a framework to provide users with the interactive access to information …","390,000","2016","Discovery Projects"
"Seok-Hee Hong","DP160104148","The University of Sydney","This project aims to develop new efficient algorithms to enable analysts to visually understand …","480,000","2016","Discovery Projects"
"Vincent Gramoli","DP160104801","The University of Sydney","The project intends to improve data structures to reduce the bottleneck effect caused by multiple …","385,000","2016","Discovery Projects"
"Albert Zomaya","LP160100406","The University of Sydney","The project aims to design, implement, and integrate solutions to manage resources in cloud data …","390,000","2016","Linkage Projects"
"Alan Fekete","LP160100883","The University of Sydney","This project aims to develop a model of document-oriented database correctness and performance that …","239,026","2016","Linkage Projects"
"Seok-Hee Hong","LP160100935","The University of Sydney","This project aims to create methods to visually analyse massive multivariate networks. The amount …","382,000","2016","Linkage Projects"
"Dagan Feng","LP160101162","The University of Sydney","This project aims to extract models of disease patterns from medical imaging data, using deep …","360,000","2016","Linkage Projects"
"Yang Song","DE150101655","The University of Sydney","This project aims to develop a new framework for the detection and quantification of cancer …","297,036","2015","Discovery Early Career Researcher Award"
"Joachim Gudmundsson","DP150101134","The University of Sydney","Theoretical computer science has up until now had little impact on the design of effective …","355,100","2015","Discovery Projects"
"Albert Zomaya","LP150101213","The University of Sydney","This project aims to design, implement, and integrate solutions to improve resource use of private …","574,932","2015","Linkage Projects"
"Kai Riemer","LP150101261","The University of Sydney","This project intends to develop a methodology for the successful introduction of enterprise social …","280,000","2015","Linkage Projects"
"Young Choon Lee","DE140101628","The University of Sydney","Resource sharing using hardware virtualisation has become increasingly common for cloud data centre …","301,970","2014","Discovery Early Career Researcher Award"
"Albert Zomaya","LP140100980","The University of Sydney","Cloud data centres have become increasingly large-scale to meet ever increasing computing and …","315,000","2014","Linkage Projects"
"Julian Mestre","DE130101664","The University of Sydney","The aim of this project is to design efficient algorithms that compute universal solutions for …","357,084","2013","Discovery Early Career Researcher Award"
"Albert Zomaya","DP130104591","The University of Sydney","In cloud platforms a large number of applications compete for shared resources. Concerns of power …","366,000","2013","Discovery Projects"
"Aristides Gionis","FT120100825","The University of Sydney","Large volumes of data collected nowadays from real-world applications are often represented as …","671,256","2012","ARC Future Fellowships"
"Seokhee Hong","FT120100943","The University of Sydney","The project will provide new scalable algorithms for visual analytics of massive complex networks. …","787,968","2012","ARC Future Fellowships"
"Peter Eades","DP110104937","The University of Sydney","Recent technological advances have large data sets, in a data deluge. Some of the most critical …","300,000","2011","Discovery Projects"
"Peter Eades","LP110100519","The University of Sydney","This project aims to improve human understanding of huge network data sets, such as those arising …","345,000","2011","Linkage Projects"
"Masahiro Takatsuka","LP110100577","The University of Sydney","While our ability to accumulate data (such as financial data) is increasing, our capability to …","105,000","2011","Linkage Projects"
"Philip Leong","LP110200413","The University of Sydney","This project involves using parallel computing and machine learning to improve the real-time …","375,000","2011","Linkage Projects"
"Joachim Gudmundsson","FT100100755","The University of Sydney","The emergence of a variety of tracking devices, surveillance systems and even electronic …","671,342","2010","ARC Future Fellowships"
"Dagan Feng","LP100200280","The University of Sydney","The 64- and 128-slice positron emission tomography – computed tomography (PET-CT) devices at the …","430,000","2010","Linkage Projects"
"Michael Harre","DP170102927","The University of Sydney","This project aims to determine whether the Australian housing market is at risk of a collapse. This …","371,000","2017","Discovery Projects"
"Changyang Li","DE160101518","The University of Sydney","This project seeks to advance the development of new biomedical image recognition and analysis …","294,111","2016","Discovery Early Career Researcher Award"
"Mikhail Prokopenko","DP160102742","The University of Sydney","The project aims to develop novel computational epidemiological models to contribute to guidelines …","510,000","2016","Discovery Projects"
"Eduardo Nebot","DP160104081","The University of Sydney","This project intends to develop methods to evaluate risk during driving. The next generation of …","440,000","2016","Discovery Projects"
"John Cannon","DP160104626","The University of Sydney","This project aims to develop new algorithms for analysing groups. A group is a rather simple …","305,500","2016","Discovery Projects"
"Stefan Williams","DP150104440","The University of Sydney","This project aims to develop the first photometric model of computational image formation from a …","323,500","2015","Discovery Projects"
"Fabio Ramos","LP150101190","The University of Sydney","The project aims to develop an automatic activity recognition system for cognitive aid of dementia …","382,000","2015","Linkage Projects"
"Dagan Feng","LP140100686","The University of Sydney","The term ‘Omni’-modality imaging (OMI) has been coined to describe the integration of multiple, …","355,000","2014","Linkage Projects"
"Oscar Pizarro","LP130101175","The University of Sydney","This project will develop improved surveying systems for environmental consultancies. By enhancing …","290,000","2013","Linkage Projects"
"Benjamin Hachey","DE120102900","The University of Sydney","Wikipedia is the most popular web site for finding facts, but articles about local or specialist …","375,000","2012","Discovery Early Career Researcher Award"
"Fabio Ramos","DE120103051","The University of Sydney","This project aims to create a novel statistical framework for data fusion that integrates elements …","375,000","2012","Discovery Early Career Researcher Award"
"Bertrand Douillard","DP110101986","The University of Sydney","The next generation of robots will be able to precisely recognise objects to reason about the …","255,000","2011","Discovery Projects"
"Craig Jin","DP110102920","The University of Sydney","The project aims to develop a practical method to derive a listener's individualised Head Related …","330,000","2011","Discovery Projects"
"Stefan Williams","FT110100511","The University of Sydney","This project will develop the tools required to transform observations, made from autonomous …","759,836","2011","ARC Future Fellowships"
"Rafael Calvo","LP130100453","The University of Sydney","This project will develop CyberMate, which is a novel automated psychological intervention based on …","357,574","2013","Linkage Projects"
"Eduardo Nebot","LP120100700","The University of Sydney","The project will push the boundaries of mining safety research to deliver innovative and powerful …","480,800","2012","Linkage Projects"
"Dagan Feng","LP110200166","The University of Sydney","Our customisable Med-Graphic Avatar will open up unprecedented access, intuitive interpretation, …","386,000","2011","Linkage Projects"
"Ian Johnson","LP100200615","The University of Sydney","The project will maximise the value of public investment in digital history resources by developing …","180,000","2010","Linkage Projects"
"Joseph Lizier","DE160100630","The University of Sydney","This project aims to investigate networks in order to translate network function to a universal …","375,000","2016","Discovery Early Career Researcher Award"
"Andre Kyme","DE160100745","The University of Sydney","The aim of this project is to develop innovative and highly practical motion tracking methods …","347,000","2016","Discovery Early Career Researcher Award"
"Salah Sukkarieh","DP140104203","The University of Sydney","The objective of this project is to develop a principled understanding of how to improve the …","320,000","2014","Discovery Projects"
"Rafael Calvo","FT140100824","The University of Sydney","Designing future technology to foster psychological wellbeing has the potential to affect …","700,452","2014","ARC Future Fellowships"
"Dietmar Muller","DP130101946","The University of Sydney","We propose to model the convection of Earth’s mantle linked to tectonic plate motions to unravel …","420,000","2013","Discovery Projects"
"Fabio Ramos","DP130104385","The University of Sydney","This project will create a novel class of probabilistic graphical model algorithms for learning and …","345,000","2013","Discovery Projects"
"Philip Leong","LP130101034","The University of Sydney","This project will tackle the challenge of applying real-time machine learning to massive …","200,000","2013","Linkage Projects"
"Jerome Buhl","FT110100082","The University of Sydney","By combining field biology, robotics and mathematics, this project will determine how animals flock …","652,148","2011","ARC Future Fellowships"
"Peter Tuthill","DP180103408","The University of Sydney","This project aims to investigate the physics of solar system assembly. Understanding the origins of …","417,961","2018","Discovery Projects"
"Jean Yang","DP170100654","The University of Sydney","This project aims to develop statistical tools that integrate high-throughput molecular data with …","354,500","2017","Discovery Projects"
"Benjamin Goldsmith","DP160101122","The University of Sydney","The project intends to develop a new method of forecasting to improve the international community’s …","285,000","2016","Discovery Projects"
"Tara Murphy","FT150100099","The University of Sydney","This project plans to use three new Australian telescopes to conduct the most comprehensive search …","824,960","2015","ARC Future Fellowships"
"Margaret Allman-Farinelli","LP150100831","The University of Sydney","This project aims to explore the role that food prepared outside the home versus within the home …","202,044","2015","Linkage Projects"
"Stefan Williams","LP150101135","The University of Sydney","This project aims to improve the feedback link between robotic platforms and an operator, to …","315,000","2015","Linkage Projects"
"Fabrizio Frati","DE140100708","The University of Sydney","A morphing is a continuous transformation between two drawings of the same topological graph such …","297,003","2014","Discovery Early Career Researcher Award"
"Dagan Feng","DP140100211","The University of Sydney","This research is aimed at extracting and harnessing new knowledge from the immense volume of …","342,000","2014","Discovery Projects"
"Tara Murphy","DP110102034","The University of Sydney","Gamma-ray bursts and supernova explosions are some of the most extreme events in the Universe, and …","480,000","2011","Discovery Projects"
"Junming Ho","DE160100807","The University of Sydney","This project plans to use simulations and modelling for the rational design of anion transporters …","321,536","2016","Discovery Early Career Researcher Award"
"Cliff Kerr","DE140101375","The University of Sydney","One of the greatest challenges in understanding the brain is the enormous range of scales it …","395,220","2014","Discovery Early Career Researcher Award"
"Nicolas Epain","DE130101000","The University of Sydney","This project aims to develop a new type of acoustic lens that enhances incoherent sensing. This …","270,847","2013","Discovery Early Career Researcher Award"
"Manfred Lenzen","DP130101293","The University of Sydney","This project will create a globally harmonised approach to calculating environmental footprints for …","405,000","2013","Discovery Projects"
"Roger Fulton","DP110104604","The University of Sydney","The aim of this work is to develop motion tracking and motion correction techniques for an emerging …","390,000","2011","Discovery Projects"
