"Xiaojun Chang","DE190100626","University of Technology Sydney","This project aims to build state-of-the-art deep learning models to predict future actions in …","393,000","2019","Discovery Early Career Researcher Award"
"Yi Zhang","DE190100994","University of Technology Sydney","This project aims to construct an intelligent bibliometric system to track and predict …","408,000","2019","Discovery Early Career Researcher Award"
"Yunchao Wei","DE190101315","University of Technology Sydney","This project aims to provide a comprehensive and practical extreme object detection system …","401,886","2019","Discovery Early Career Researcher Award"
"Longbing Cao","DP190101079","University of Technology Sydney","This project aims to build a systematic theory for the deep analytics of complex and important …","320,000","2019","Discovery Projects"
"Katarzyna Musial-Gabrys","DP190101087","University of Technology Sydney","This project aims to understand the extent to which a given complex social network can be …","600,000","2019","Discovery Projects"
"Jie Lu","DP190101733","University of Technology Sydney","This project aims to provide application-ready real-time decision support systems for big data …","467,000","2019","Discovery Projects"
"Ivor Tsang","DP180100106","University of Technology, Sydney","Existing visual concept detection systems are incapable of detecting ever-evolving concepts in …","392,884","2018","Discovery Projects"
"Jinyan Li","DP180100120","University of Technology, Sydney","This project aims to investigate the many layers of error correction problems in the terabytes of …","352,616","2018","Discovery Projects"
"Chin-Teng Lin","DP180100656","University of Technology, Sydney","This project aims to develop a personalised navigation system to provide effective …","366,663","2018","Discovery Projects"
"Chin-Teng Lin","DP180100670","University of Technology, Sydney","This project aims to develop an intelligent engine to adaptively fuse multiple trust-based …","354,592","2018","Discovery Projects"
"Yuan Feng","DP180100691","University of Technology, Sydney","This project aims to develop theoretical foundations and techniques, as well as efficient …","384,810","2018","Discovery Projects"
"Chengqi Zhang","DP180100966","University of Technology, Sydney","This project aims to systematically investigate the challenging problem of hash function learning …","373,733","2018","Discovery Projects"
"Guandong Xu","LP170100891","University of Technology Sydney","This project aims to reform superannuation investment practices in Australia. Using sophisticated …","415,893","2018","Linkage Projects"
"Yanwei Fu","DE170101415","University of Technology, Sydney","This project aims to design and develop computational systems and algorithms that learn as humans …","365,000","2017","Discovery Early Career Researcher Award"
