"Karin Verspoor","DP190101350","The University of Melbourne","This project aims to develop methods for identifying poor quality data in biological databases. ","339,000","2019","Discovery Projects"
"Rui Zhang","DP180102050","The University of Melbourne","Recently launched Virtual Assistant products such as Amazon Echo and Google Home are commanded by ","342,518","2018","Discovery Projects"
"Peter Stuckey","DP170103174","The University of Melbourne","This project aims to formulate methods for using constraint solving and data mining in a ","498,500","2017","Discovery Projects"
"Trevor Cohn","DP160102686","The University of Melbourne","This project seeks to integrate deep linguistics and deep learning to improve translation quality. ","450,000","2016","Discovery Projects"
"Frank Vetere","DP190103414","The University of Melbourne","This project aims to produce validated methods for creating human-centred explanations of decisions ","380,000","2019","Discovery Projects"
"Wally Smith","DP180101215","The University of Melbourne","This artificial project aims to develop a theory of strategic deception and test it through an ","351,251","2018","Discovery Projects"
"Fernando Calamante","DP170101815","The University of Melbourne","This project aims to develop magnetic resonance imaging analysis methods to non-invasively study ","410,500","2017","Discovery Projects"
"Saman Halgamuge","DP150103512","The University of Melbourne","The project aims to investigate the recently proposed promising machine learning paradigm ""Near ","266,300","2015","Discovery Projects"
"Benjamin Rubinstein","DP150103710","The University of Melbourne","Technological advances such as cloud computing have disrupted thousands of businesses managing ","216,000","2015","Discovery Projects"
"Mohammad Aldeen","DP140102180","The University of Melbourne","Complex systems usually comprise a large number of inter-dependent subsystems linked together to ","270,000","2014","Discovery Projects"
"Elizabeth Sonenberg","DP130102825","The University of Melbourne","As automated systems become more sophisticated in their capabilities, the design of effective ","350,000","2013","Discovery Projects"
"Ramamohanarao Kotagiri","DP130103705","The University of Melbourne","Traffic congestion coupled with greenhouse gas emissions is a major challenge for modern society. ","452,000","2013","Discovery Projects"
"Rui Zhang","DP130104587","The University of Melbourne","This project will develop spatial data retrieval methods that are not only highly efficient but ","275,000","2013","Discovery Projects"
"Steven Bird","DP120101712","The University of Melbourne","Efforts to preserve the world's endangered linguistic heritage are labour-intensive, and unable to ","123,000","2012","Discovery Projects"
"Marcus Pandy","DP120101973","The University of Melbourne","The project will establish a new capability for the prevention and treatment of osteoarthritis ","430,000","2012","Discovery Projects"
"Jennifer Lewis","DP180101711","The University of Melbourne","This project aims to empirically test a novel framework for analysing the relationship between ","341,983","2018","Discovery Projects"
"Stephan Winter","DP170100109","The University of Melbourne","This project aims to develop the tools that will enable people to interact intuitively with ","399,500","2017","Discovery Projects"
"Jane Elith","DP160101003","The University of Melbourne","Species distribution models inform numerous conservation decisions, from planning reserves and ","359,800","2016","Discovery Projects"
"Frank Vetere","DP160101368","The University of Melbourne","This project aims to design and investigate innovative technologies to establish meaningful social ","340,000","2016","Discovery Projects"
"Karin Verspoor","DP150101550","The University of Melbourne","The project aims to use natural language processing and information retrieval to reconcile and ","355,100","2015","Discovery Projects"
"David Grayden","DP140101520","The University of Melbourne","The aim of this project is to gain a better understanding of the ways in which our auditory cortex ","360,000","2014","Discovery Projects"
"Jacques-Donald Tournier","DP130103438","The University of Melbourne","In this project, innovative new imaging and reconstruction techniques will be developed to provide ","778,000","2013","Discovery Projects"
"Benjamin Rubinstein","DP110105480","The University of Melbourne","Machine learning underpins the technologies driving the economies of both Silicon Valley and Wall ","260,000","2011","Discovery Projects"
"Karin Verspoor","LP160101469","The University of Melbourne","The project aims to develop novel natural language processing methods to find, extract and ","500,000","2017","Linkage Projects"
"Timothy Baldwin","LP130101110","The University of Melbourne","This project will develop personalised information discovery, navigation and management systems of ","195,000","2013","Linkage Projects"
"Adrian Pearce","LP110100115","The University of Melbourne","Mine scheduling is a challenging problem for Rio Tinto which annually mines more than 200 Million ","600,000","2011","Linkage Projects"
"Marimuthu Palaniswami","LP100200430","The University of Melbourne","Partnering University of Melbourne researchers, with video surveillance experts SenSen, engineering ","255,000","2010","Linkage Projects"
"Saman Halgamuge","LP140100670","The University of Melbourne","Without the capability to identify and study the vast majority of extant viruses using traditional ","243,762","2014","Linkage Projects"
"Ramamohanarao Kotagiri","LP130101038","The University of Melbourne","Businesses and government are dependent on the reliability of their information technology (IT) ","280,000","2013","Linkage Projects"
"Anthony Schache","LP110100262","The University of Melbourne","The purpose of this project is to advance current understanding of muscle function during human ","293,000","2011","Linkage Projects"
"Christopher Leckie","LP100100854","The University of Melbourne","Distributed Denial-of-Service (DDoS) attacks are one of the most persistent and damaging threats to ","212,000","2010","Linkage Projects"
"Richard Sandberg","LP160100228","The University of Melbourne","This project aims to improve the fuel efficiency of gas turbines, the backbone of power generation ","438,000","2016","Linkage Projects"
"Stephan Winter","LP120200130","The University of Melbourne","Australias major cities are substantially challenged for public transport services due to the ","330,000","2012","Linkage Projects"
"Marimuthu Palaniswami","LP100200184","The University of Melbourne","Australias national fetal death rate is 6.7 per one thousand births. In Australias Indigenous ","240,000","2010","Linkage Projects"
"Stephan Winter","LP100200199","The University of Melbourne","Place descriptions are a common way for people to describe a location, but no current tools are ","300,000","2010","Linkage Projects"
"Trevor Cohn","FT130101105","The University of Melbourne","While automatic machine translation technologies are undoubtedly useful to a wide range of users, ","729,550","2013","ARC Future Fellowship"
"Timothy Baldwin","FT120100658","The University of Melbourne","This project will aim to take web search to a new level of sophistication in accepting queries in ","781,971","2012","ARC Future Fellowship"
"Tobias Merson","FT150100207","The University of Melbourne","This project is expected to refine our understanding of brain plasticity by revealing how myelin ","694,085","2015","ARC Future Fellowship"
"Abd-Krim Seghouane","FT130101394","The University of Melbourne","Brain imaging data analysis methods have proven to be very effective in the study of brain ","606,740","2013","ARC Future Fellowship"
"Anthony Wirth","FT120100307","The University of Melbourne","To process enormous amounts of data, leading computing companies are turning to modern computing ","599,228","2012","ARC Future Fellowship"
"Xuan Vinh Nguyen","DE170100361","The University of Melbourne","This project aims to protect machine learning systems from adversarial manipulation. Machine ","360,000","2017","Discovery Early Career Researcher Award"
"Graeme Gange","DE160100568","The University of Melbourne","This project intends to develop techniques to ensure that the solutions reported by optimisation ","360,000","2016","Discovery Early Career Researcher Award"
"Benjamin Rubinstein","DE160100584","The University of Melbourne","This project intends to answer the question: How can machines learn from data when participants ","370,000","2016","Discovery Early Career Researcher Award"
"Geoffrey Chu","DE130100292","The University of Melbourne","Combinatorial optimisation problems such as staff rostering, vehicle routing or resource allocation ","285,000","2013","Discovery Early Career Researcher Award"
"Masud Moshtaghi","DE150100104","The University of Melbourne","This project aims to address a key problem of interpreting and providing meaningful information in ","330,000","2015","Discovery Early Career Researcher Award"
"Nicholas Geard","DE130100660","The University of Melbourne","Where you live and who you know has implications for your health. This study will use social ","358,731","2013","Discovery Early Career Researcher Award"
